Year,Series,Frequency,Type,Unit,Value
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Passengers,Number,"723,995"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Passengers,Number,"748,345"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3,Passengers,Number,"815,262"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4,Passengers,Number,"602,509"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,,Passengers,Number,"2,890,111"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Goods/Cargo (tons),Number,"54,099"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Goods/Cargo (tons),Number,"79,750"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3,Goods/Cargo (tons),Number,"55,630"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4,Goods/Cargo (tons),Number,"10,634"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,,Goods/Cargo (tons),Number,"200,113"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Passengers,Number,"647,055"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Passengers,Number,"108,238"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3,Passengers,Number,"130,258"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4,Passengers,Number,"134,817"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,,Passengers,Number,"1,020,368"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Goods/Cargo (tons),Number,"18,484"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Goods/Cargo (tons),Number,"8,691"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3,Goods/Cargo (tons),Number,"24,528"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4,Goods/Cargo (tons),Number,"35,736"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,,Goods/Cargo (tons),Number,"87,439"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Passengers,Number,"424,460"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Passengers,Number,"565,385"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3,Passengers,Number,"696,841"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4,Passengers,Number,"1,027,772"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,,Passengers,Number,"2,714,458"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Goods/Cargo (tons),Number,"9,071"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Goods/Cargo (tons),Number,"27,695"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3,Goods/Cargo (tons),Number,"51,726"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4,Goods/Cargo (tons),Number,"53,946"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,,Goods/Cargo (tons),Number,"142,438"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Passengers,Number,"953,099"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Passengers,Number,"422,393"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3,Passengers,Number,"500,348"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4,Passengers,Number,"1,337,108"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,,Passengers,Number,"3,212,948"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Goods/Cargo (tons),Number,"39,379"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Goods/Cargo (tons),Number,"31,197"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3,Goods/Cargo (tons),Number,"33,312"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4,Goods/Cargo (tons),Number,"53,136"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,,Goods/Cargo (tons),Number,"157,024"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Passengers,Number,"441,725"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Passengers,Number,"474,117"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3,Passengers,Number,"594,348"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4,Passengers,Number,"672,198"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,,Passengers,Number,"2,182,388"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Goods/Cargo (tons),Number,"59,966"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Goods/Cargo (tons),Number,"56,936"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3,Goods/Cargo (tons),Number,"81,963"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4,Goods/Cargo (tons),Number,"119,286"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,,Goods/Cargo (tons),Number,"318,151"
2024,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Passengers,Number,675293
2024,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Passengers,Number,689263
2024,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Goods/Cargo (tons),Number,160650
2024,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Goods/Cargo (tons),Number,143759
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
